Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,25P,42,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,42,-11415,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,-0.6732390498476261,-0.4194652764458842,-0.5970816759798308,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,33P,25,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,42,-11415,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,-0.6732390498476261,-0.4194652764458842,-0.5970816759798308,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,24P,32,NA,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,E,Regular stative with durante,Herencia,Producción,42,-34938,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,-0.5807009486907089,-0.44298878545072556,-0.5561735706535325,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,31P,5,NA,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,G,Regular stative with entre,Herencia,Producción,42,-34938,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,-0.5807009486907089,-0.44298878545072556,-0.5561735706535325,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,26P,7,1,#03: haber,haber,7679109,1017563,4153642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,42,3136079,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,1.2584475576980563,2.728096830924949,0.813240051124963,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,40P,50,1,#03: haber,haber,7679109,1017563,4153642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,42,3136079,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,1.2584475576980563,2.728096830924949,0.813240051124963,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,29P,37,1,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,42,-264072,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,1.349329529982588,-0.6721277435902195,2.3621233559138943,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,36P,10,1,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,42,-264072,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,1.349329529982588,-0.6721277435902195,2.3621233559138943,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,23P,22,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,E,Regular stative with durante,Herencia,Producción,42,-95053,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,-0.5658669093571781,-0.5031050862553014,-0.36223571768215856,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,34P,35,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,G,Regular stative with entre,Herencia,Producción,42,-95053,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,-0.5658669093571781,-0.5031050862553014,-0.36223571768215856,NA,-0.060601101349574936
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,21P,49,0,#08: amar,amar,65158,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,42,9386,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,-0.7035384519528927,-0.39866382634131825,-0.6878407405071963,NA,-0.6423716743054927
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,22P,39,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,42,9386,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,-0.6996515610378375,-0.39866382634131825,-0.6878407405071963,NA,-0.6423716743054927
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,32P,37,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,42,9386,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,-0.6996515610378375,-0.39866382634131825,-0.6878407405071963,NA,-0.6423716743054927
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,30P,4,1,#06: creer,creer,537246,33274,70392,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,F,Irregular stative with durante,Herencia,Producción,42,37118,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,-0.5818893828527504,-0.37093122625959996,-0.6467620549527344,NA,-0.6423716743054927
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,38P,22,1,#06: creer,creer,537246,33274,70392,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,H,Irregular stative with entre,Herencia,Producción,42,37118,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,-0.5818893828527504,-0.37093122625959996,-0.6467620549527344,NA,-0.6423716743054927
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,35P,7,0,#09: doler,doler,69627,11678,6450,Irregular,0,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,42,-5228,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,-0.7023868664649995,-0.41327814256785195,-0.6787955384955292,NA,-0.6423716743054927
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,27P,34,1,#01: estar,estar,10180830,1173419,2479642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,42,1306223,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,1.903098620208175,0.8982012353987422,1.0444222427829473,NA,-0.6423716743054927
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,39P,12,1,#01: estar,estar,10180830,1173419,2479642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,42,1306223,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,1.903098620208175,0.8982012353987422,1.0444222427829473,NA,-0.6423716743054927
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,28P,24,1,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,F,Irregular stative with durante,Herencia,Producción,42,-4995,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,-0.706565196893773,-0.4130451375260576,-0.6863737505449893,NA,-0.6423716743054927
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,37P,32,1,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,H,Irregular stative with entre,Herencia,Producción,42,-4995,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,-0.706565196893773,-0.4130451375260576,-0.6863737505449893,NA,-0.6423716743054927
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,25P,9,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,42,-11415,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,-0.6732390498476261,-0.4194652764458842,-0.5970816759798308,NA,-0.6423716743054927
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,33P,27,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,42,-11415,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,-0.6732390498476261,-0.4194652764458842,-0.5970816759798308,NA,-0.6423716743054927
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,24P,19,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,E,Regular stative with durante,Herencia,Producción,42,-34938,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,-0.5807009486907089,-0.44298878545072556,-0.5561735706535325,NA,-0.6423716743054927
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,31P,47,1,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,G,Regular stative with entre,Herencia,Producción,42,-34938,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,-0.5807009486907089,-0.44298878545072556,-0.5561735706535325,NA,-0.6423716743054927
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,26P,44,1,#03: haber,haber,7679109,1017563,4153642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,42,3136079,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,1.2584475576980563,2.728096830924949,0.813240051124963,NA,-0.6423716743054927
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,40P,2,1,#03: haber,haber,7679109,1017563,4153642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,42,3136079,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,1.2584475576980563,2.728096830924949,0.813240051124963,NA,-0.6423716743054927
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,29P,14,1,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,42,-264072,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,1.349329529982588,-0.6721277435902195,2.3621233559138943,NA,-0.6423716743054927
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,36P,42,1,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,42,-264072,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,1.349329529982588,-0.6721277435902195,2.3621233559138943,NA,-0.6423716743054927
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,23P,29,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,E,Regular stative with durante,Herencia,Producción,42,-95053,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,-0.5658669093571781,-0.5031050862553014,-0.36223571768215856,NA,-0.6423716743054927
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,34P,17,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,G,Regular stative with entre,Herencia,Producción,42,-95053,0.6077617804701093,0.6101723224175408,0.3832114278879238,-1.3379911850902764,0.377176225075103,-0.5658669093571781,-0.5031050862553014,-0.36223571768215856,NA,-0.6423716743054927
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,0,B,21P,49,0,#08: amar,amar,65158,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,32,9386,-0.850866492658154,-0.46660236420164936,-1.0538314266917916,-0.20463394595498355,1.131528675225309,-0.7035384519528927,-0.39866382634131825,-0.6878407405071963,NA,1.1029400445622606
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,0,B,22P,39,NA,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,32,9386,-0.850866492658154,-0.46660236420164936,-1.0538314266917916,-0.20463394595498355,1.131528675225309,-0.6996515610378375,-0.39866382634131825,-0.6878407405071963,NA,1.1029400445622606
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,0,B,32P,37,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,32,9386,-0.850866492658154,-0.46660236420164936,-1.0538314266917916,-0.20463394595498355,1.131528675225309,-0.6996515610378375,-0.39866382634131825,-0.6878407405071963,NA,1.1029400445622606
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,0,B,30P,4,1,#06: creer,creer,537246,33274,70392,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,F,Irregular stative with durante,Herencia,Producción,32,37118,-0.850866492658154,-0.46660236420164936,-1.0538314266917916,-0.20463394595498355,1.131528675225309,-0.5818893828527504,-0.37093122625959996,-0.6467620549527344,NA,1.1029400445622606
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,0,B,38P,22,1,#06: creer,creer,537246,33274,70392,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,H,Irregular stative with entre,Herencia,Producción,32,37118,-0.850866492658154,-0.46660236420164936,-1.0538314266917916,-0.20463394595498355,1.131528675225309,-0.5818893828527504,-0.37093122625959996,-0.6467620549527344,NA,1.1029400445622606
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,0,B,35P,7,0,#09: doler,doler,69627,11678,6450,Irregular,0,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,32,-5228,-0.850866492658154,-0.46660236420164936,-1.0538314266917916,-0.20463394595498355,1.131528675225309,-0.7023868664649995,-0.41327814256785195,-0.6787955384955292,NA,1.1029400445622606
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,0,B,27P,34,1,#01: estar,estar,10180830,1173419,2479642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,32,1306223,-0.850866492658154,-0.46660236420164936,-1.0538314266917916,-0.20463394595498355,1.131528675225309,1.903098620208175,0.8982012353987422,1.0444222427829473,NA,1.1029400445622606
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,0,B,39P,12,1,#01: estar,estar,10180830,1173419,2479642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,32,1306223,-0.850866492658154,-0.46660236420164936,-1.0538314266917916,-0.20463394595498355,1.131528675225309,1.903098620208175,0.8982012353987422,1.0444222427829473,NA,1.1029400445622606
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,0,B,28P,24,1,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,F,Irregular stative with durante,Herencia,Producción,32,-4995,-0.850866492658154,-0.46660236420164936,-1.0538314266917916,-0.20463394595498355,1.131528675225309,-0.706565196893773,-0.4130451375260576,-0.6863737505449893,NA,1.1029400445622606
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,0,B,37P,32,1,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,H,Irregular stative with entre,Herencia,Producción,32,-4995,-0.850866492658154,-0.46660236420164936,-1.0538314266917916,-0.20463394595498355,1.131528675225309,-0.706565196893773,-0.4130451375260576,-0.6863737505449893,NA,1.1029400445622606
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,0,B,25P,9,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,32,-11415,-0.850866492658154,-0.46660236420164936,-1.0538314266917916,-0.20463394595498355,1.131528675225309,-0.6732390498476261,-0.4194652764458842,-0.5970816759798308,NA,1.1029400445622606
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,0,B,33P,27,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,32,-11415,-0.850866492658154,-0.46660236420164936,-1.0538314266917916,-0.20463394595498355,1.131528675225309,-0.6732390498476261,-0.4194652764458842,-0.5970816759798308,NA,1.1029400445622606
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,0,B,24P,19,1,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,E,Regular stative with durante,Herencia,Producción,32,-34938,-0.850866492658154,-0.46660236420164936,-1.0538314266917916,-0.20463394595498355,1.131528675225309,-0.5807009486907089,-0.44298878545072556,-0.5561735706535325,NA,1.1029400445622606
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,0,B,31P,47,NA,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,G,Regular stative with entre,Herencia,Producción,32,-34938,-0.850866492658154,-0.46660236420164936,-1.0538314266917916,-0.20463394595498355,1.131528675225309,-0.5807009486907089,-0.44298878545072556,-0.5561735706535325,NA,1.1029400445622606
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,0,B,26P,44,1,#03: haber,haber,7679109,1017563,4153642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,32,3136079,-0.850866492658154,-0.46660236420164936,-1.0538314266917916,-0.20463394595498355,1.131528675225309,1.2584475576980563,2.728096830924949,0.813240051124963,NA,1.1029400445622606
